                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.38465,                0.56369,                  0.256,                0.97491,                0.99419,                0.99442,                0.98989,                0.96294,                0.99419,                0.99442,                 0.9899,                0.95549,                0.17932,                0.31487,                0.15873,                0.69817,             0.00028072,             0.00028072,             0.00028072
                     87,                 0.3738,                0.54723,                0.24872,                0.97251,                0.99381,                0.98933,                0.98982,                0.96244,                0.99381,                0.98933,                0.98982,                0.95347,                0.17617,                0.31863,                0.15784,                0.69746,             0.00026422,             0.00026422,             0.00026422
                     88,                0.37572,                0.53075,                0.25024,                0.97072,                0.99976,                0.98291,                0.98987,                0.96411,                0.99976,                0.98291,                0.98987,                0.95542,                 0.1842,                0.30654,                0.16203,                0.70253,             0.00024772,             0.00024772,             0.00024772
                     89,                0.37933,                0.52557,                0.24556,                0.97162,                0.99414,                0.99474,                0.99009,                0.96273,                0.99414,                0.99474,                0.99009,                0.95579,                0.18171,                0.30602,                0.15287,                0.70327,             0.00023121,             0.00023121,             0.00023121
                     90,                0.37848,                 0.5552,                 0.2482,                0.97201,                 0.9938,                0.99474,                0.98999,                0.96094,                 0.9938,                0.99474,                0.98999,                0.95338,                0.18663,                0.31407,                 0.1831,                0.71099,             0.00021471,             0.00021471,             0.00021471
                     91,                0.17588,                0.36902,                0.17811,                 0.9083,                0.99879,                0.98947,                0.99108,                0.96436,                0.99879,                0.98947,                0.99108,                0.95781,                 0.1991,                0.30451,                0.16442,                0.71117,             0.00019821,             0.00019821,             0.00019821
                     92,                 0.1722,                0.36949,                 0.1586,                0.90663,                0.99442,                0.99433,                0.99145,                0.97095,                0.99442,                0.99433,                0.99145,                0.95938,                0.18062,                0.30626,                0.15573,                 0.7011,              0.0001817,              0.0001817,              0.0001817
                     93,                0.17057,                0.34729,                0.15343,                 0.9079,                0.99294,                0.98947,                0.99167,                0.96925,                0.99209,                0.98863,                0.99153,                0.96244,                0.17831,                 0.3131,                0.15133,                0.69905,              0.0001652,              0.0001652,              0.0001652
                     94,                0.16717,                0.35892,                0.14938,                0.91096,                0.99397,                0.99474,                0.99206,                0.97064,                0.99397,                0.99474,                0.99206,                0.96082,                 0.1718,                0.30624,                0.14332,                0.69559,              0.0001487,              0.0001487,              0.0001487
                     95,                 0.1689,                0.36161,                0.15293,                0.90762,                0.99355,                0.98947,                0.99187,                0.97001,                0.99355,                0.98947,                0.99187,                0.96354,                0.18299,                0.29728,                  0.152,                0.70248,             0.00013219,             0.00013219,             0.00013219
                     96,                0.16458,                0.35152,                0.14852,                 0.9043,                0.98806,                0.99474,                0.99214,                0.96983,                0.98806,                0.99474,                0.99214,                0.96637,                0.17329,                0.29924,                0.14583,                0.69745,             0.00011569,             0.00011569,             0.00011569
                     97,                0.16273,                0.34523,                0.14314,                0.89768,                0.99339,                0.99474,                0.99238,                  0.971,                0.99339,                0.99474,                0.99238,                0.96114,                0.17809,                0.32314,                0.14253,                0.69858,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.16062,                0.34073,                0.13938,                0.89773,                0.99402,                0.99474,                0.99206,                0.96782,                0.99402,                0.99474,                0.99206,                 0.9573,                0.17504,                0.30971,                0.13972,                0.69551,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.15808,                0.35245,                   0.14,                0.90071,                0.99381,                0.99365,                0.99195,                0.97054,                0.99381,                0.99365,                0.99195,                0.96116,                0.16452,                0.30737,                0.13012,                0.68933,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.16037,                 0.3406,                 0.1373,                0.89975,                0.99388,                0.99248,                0.99178,                0.97097,                0.99388,                0.99248,                0.99178,                0.95845,                0.16671,                0.30349,                0.13412,                0.69001,             4.9677e-05,             4.9677e-05,             4.9677e-05
